Expenses,Amount Spent
Ashley's Craft Store,-3661.62
Public Transportation - Bus Pass,-2173.3604
Sprouts Market,-1053.4202
Restaurant - Pizza,-1024.95
Babies "R" Us,18.65
Uber,-2127.9702
Time Warner Cable,-450.0
Paycheck,52701.0
Housing Rent,-18892.0
Hospital - Prenatal Care,19.78
Michael's Crafts,-3429.2405
Food Delivery - GrubHub,-871.5801
Art's Art Supplies,-3774.9092
Restaurant - Steakhouse,-1180.2301
Public Transportation - Train Pass,-3096.9695
Whole Foods,-1287.3002
Restaurant - Burgers,-837.04004
Restaurant - Chinese,-1039.6201
Credit Card Payment,-2772.0
BuyBuyBaby.com,33.63
Navient - Student Loans,-3546.0
Amazon Order - Paint Canvas,-3392.6
Gas & Electric,-576.0
ACS - Student Loans,-2430.0
Art Auction,-4544.1606
Painting Course Fees,-4196.57
Von's Groceries,-958.53

User Id : 57556,
Amazon Order - Paint Bushes,-3610.4
Guitar Center,-4036.25
Ralph's Grocery Store,-1391.7201
Music Lessons - Piano,-3964.7598
Starbucks Coffee,-1452.8501
Taxi,-2187.8503
FedEx Shipping,13.03
Lyft,-2125.8303
Amazon Order - Baby Crib,6.92
Home Depot,36.13
Ashley's Craft Store,-4334.281
Public Transportation - Bus Pass,-2017.8702
Sprouts Market,-1567.1799
Restaurant - Pizza,-949.4601
Wedding Planner,16.76
Babies "R" Us,9.71
Uber,-2139.84
Southwest Flights - Cancun,8.53
Paycheck,4381.0
Housing Rent,-20398.0
Kay Jewelry,4.88
Hospital - Prenatal Care,57.89
Refrigerator Depot,8.6
Michael's Crafts,-4715.599
Food Delivery - GrubHub,-1517.41
Art's Art Supplies,-3750.2202
Mark's Movers,10.78
Restaurant - Steakhouse,-975.4398
Public Transportation - Train Pass,-2968.13
Hamilton Move & Storage,74.88
Whole Foods,-1030.4299
Restaurant - Burgers,-1731.8499
Restaurant - Chinese,-1517.0499
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,38.79
Amazon Order - Paint Canvas,-3447.4893
Gas & Electric,-576.0
Jerome's Furniture,25.47
Art Auction,-4578.441
Painting Course Fees,-3753.2693
Netflix Subscription,-89.81998
Von's Groceries,-1297.6998
Cancun Beach Resort,11.3

User Id : 20128,
Ralph's Grocery Store,-1006.05
Starbucks Coffee,-813.07996
Water & Sewer,-954.0
Taxi,-2376.75
FedEx Shipping,5.95
Lyft,-2706.9604
Amazon Order - Baby Crib,25.08
Home Depot,18.82
Goods2 - ThinkGeek,-2494.7095
Public Transportation - Bus Pass,-2540.2002
Amazon Order - Biology Book,-2310.2905
Sprouts Market,-857.18994
Restaurant - Pizza,-1060.5499
Babies "R" Us,12.97
Wedding Planner,8.35
Uber,-2040.1399
Southwest Flights - Cancun,13.24
Paycheck,43780.0
Housing Rent,-19265.0
Kay Jewelry,38.31
Hospital - Prenatal Care,54.36
Refrigerator Depot,14.38
DVD - Star Trek,-2349.43
Amazon Order - Star Wars Figurine,-3236.6304
Coffee,-3200.2097
Food Delivery - GrubHub,-1070.99
Mark's Movers,32.24
Restaurant - Steakhouse,-900.85
Public Transportation - Train Pass,-2449.38
Hamilton Move & Storage,12.27
Whole Foods,-1155.15
Science Museum,-2875.9402
Art Museum,-2080.53
Restaurant - Burgers,-1321.1299
Mary's Book Store,-2353.34
Amazon Order - Science Book,-2312.61
Restaurant - Chinese,-1118.7401
BuyBuyBaby.com,36.22
Video Game - PlayStation,-2833.7698
Jerome's Furniture,30.12
Amazon Order - Mathematics Book,-2679.7205
Online Education Courses,-2648.1199
San Diego Museum,-2615.1892
Von's Groceries,-1027.92
Library Membership,-2946.6807
Cancun Beach Resort,27.35

User Id : 37948,
Ralph's Grocery Store,-1395.03
Comfort Inn,36.95
NBA Ticket - Lakers,-4485.6587
Starbucks Coffee,-1321.2798
Taxi,-3297.9106
FedEx Shipping,23.27
Lyft,-2664.9702
Amazon Order - Baby Crib,12.85
Home Depot,25.91
Divorce Lawyer Fees,72.62
Dick's Sporting Goods,-4150.409
Athletic Apparel,-3851.4905
Public Transportation - Bus Pass,-2314.7302
Sprouts Market,-896.54
Restaurant - Pizza,-899.25006
Babies "R" Us,5.8
Wedding Planner,63.95
Amazon Order - Athletic Equipment,-3703.4592
Uber,-2322.1106
Time Warner Cable,-450.0
Southwest Flights - Cancun,16.42
Paycheck,68622.0
Housing Rent,-18608.0
Kay Jewelry,19.36
Hospital - Prenatal Care,37.41
GNC,-3831.24
Bike Rental,-3464.1099
Refrigerator Depot,15.81
Food Delivery - GrubHub,-1238.1802
Vitamin Shoppe,-4053.7903
Mark's Movers,19.63
Restaurant - Steakhouse,-1227.3201
Public Transportation - Train Pass,-2519.2007
Hamilton Move & Storage,21.72
Whole Foods,-1389.1898
Restaurant - Burgers,-1309.51
Restaurant - Chinese,-1171.6201
Total Gym Fees,-3687.1802
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,71.35
NFL Ticket - Chargers,-3449.4
Best Western Hotel,35.02
Sam's Sporting Apparel,-3583.5906
ACS - Student Loans,-2430.0
Jerome's Furniture,34.02
Netflix Subscription,-89.81998
Von's Groceries,-1159.4199
Cancun Beach Resort,2.33

User Id : 19209,
Ralph's Grocery Store,-1603.87
Comfort Inn,35.22
Starbucks Coffee,-803.48004
Water & Sewer,-954.0
Taxi,-2092.03
FedEx Shipping,36.47
Lyft,-2243.3699
Amazon Order - Baby Crib,15.3
Home Depot,33.21
Divorce Lawyer Fees,36.51
Bowling,-2594.5896
Public Transportation - Bus Pass,-2950.11
John's Bar & Restaurant,-3513.22
Sprouts Market,-1496.0498
Restaurant - Pizza,-774.83997
Wedding Planner,14.45
Babies "R" Us,17.05
Uber,-3191.2112
Wine Bar,-3291.77
Time Warner Cable,-450.0
Southwest Flights - Cancun,111.01
Concert Ticket,-2724.8403
Paycheck,54620.0
Housing Rent,-19346.0
Kay Jewelry,0.51
Hospital - Prenatal Care,21.43
Karaoke Bar,-2569.18
Seaside Bar,-2954.45
Refrigerator Depot,34.02
Food Delivery - GrubHub,-1556.76
Mark's Movers,36.09
Restaurant - Steakhouse,-1636.4298
Rodriguez's Bar and Grill,-2833.0703
Public Transportation - Train Pass,-1669.44
Movie Ticket,-3128.9102
Hamilton Move & Storage,22.49
Whole Foods,-998.13
Restaurant - Burgers,-1500.6299
Restaurant - Chinese,-1142.85
Ice Skating Rink,-3355.2898
Fisker Night Club,-2786.4504
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,10.12
Gas & Electric,-576.0
Best Western Hotel,37.12
Green Flash Brewery,-3093.6301
ACS - Student Loans,-2430.0
Jerome's Furniture,32.0
Owl Night Club,-3265.2605
Netflix Subscription,-89.81998
Von's Groceries,-928.1
Cancun Beach Resort,23.23

User Id : 83049,
Ralph's Grocery Store,-1361.4501
Starbucks Coffee,-763.51
Taxi,-2307.4507
FedEx Shipping,38.87
Lyft,-2412.43
Amazon Order - Baby Crib,82.81
Home Depot,69.26
Goods2 - ThinkGeek,-3188.7393
Public Transportation - Bus Pass,-2883.3403
Amazon Order - Biology Book,-2631.8599
Restaurant - Pizza,-1443.03
Sprouts Market,-1285.4001
Wedding Planner,11.33
Babies "R" Us,0.63
Uber,-2950.7705
Southwest Flights - Cancun,8.34
Housing Rent,-17798.0
Paycheck,31233.0
Kay Jewelry,11.26
Hospital - Prenatal Care,107.2
Refrigerator Depot,33.63
DVD - Star Trek,-3482.4094
Amazon Order - Star Wars Figurine,-2533.5
Coffee,-3252.7498
Food Delivery - GrubHub,-1158.36
Mark's Movers,16.76
Restaurant - Steakhouse,-1090.81
Public Transportation - Train Pass,-1999.9498
Hamilton Move & Storage,23.25
Whole Foods,-754.05005
Science Museum,-2523.8706
Art Museum,-2812.01
Restaurant - Burgers,-1078.64
Mary's Book Store,-2468.8997
Amazon Order - Science Book,-2749.1702
Restaurant - Chinese,-1297.0402
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,15.98
Video Game - PlayStation,-2999.9004
Jerome's Furniture,36.17
Amazon Order - Mathematics Book,-2694.0999
Online Education Courses,-2229.61
San Diego Museum,-1818.4099
Von's Groceries,-1137.41
Library Membership,-2376.86
Cancun Beach Resort,23.53

User Id : 93372,
Ralph's Grocery Store,-1003.95996
Comfort Inn,14.01
NBA Ticket - Lakers,-4250.0796
Starbucks Coffee,-1247.6499
Water & Sewer,-954.0
Taxi,-2432.8406
FedEx Shipping,9.75
Lyft,-2611.76
Amazon Order - Baby Crib,28.51
Home Depot,72.64
Divorce Lawyer Fees,14.03
Dick's Sporting Goods,-3477.42
Athletic Apparel,-3622.8389
Public Transportation - Bus Pass,-2706.8806
Restaurant - Pizza,-1102.4598
Sprouts Market,-1410.4597
Babies "R" Us,37.47
Wedding Planner,24.05
Amazon Order - Athletic Equipment,-3328.7795
Uber,-2311.2102
Time Warner Cable,-450.0
Southwest Flights - Cancun,26.43
Paycheck,55214.0
Housing Rent,-20322.0
Kay Jewelry,12.3
Hospital - Prenatal Care,35.91
GNC,-3929.4
Bike Rental,-4289.57
Refrigerator Depot,39.4
Vitamin Shoppe,-3748.5505
Food Delivery - GrubHub,-1132.5499
Mark's Movers,45.84
Restaurant - Steakhouse,-1039.72
Public Transportation - Train Pass,-2561.1206
Hamilton Move & Storage,51.23
Whole Foods,-1598.1202
Restaurant - Burgers,-1278.1398
Restaurant - Chinese,-998.9599
Total Gym Fees,-3981.0007
Navient - Student Loans,-3546.0
BuyBuyBaby.com,36.16
Gas & Electric,-576.0
NFL Ticket - Chargers,-3019.9893
Best Western Hotel,32.09
Sam's Sporting Apparel,-3684.8594
ACS - Student Loans,-2430.0
Jerome's Furniture,37.91
Netflix Subscription,-89.81998
Von's Groceries,-1075.8099
Cancun Beach Resort,18.17

User Id : 7299,
Ralph's Grocery Store,-1381.4502
Starbucks Coffee,-1468.5803
Water & Sewer,-954.0
Taxi,-1714.59
Lyft,-2643.6602
Amazon Order - Baby Crib,13.62
Goods2 - ThinkGeek,-2903.8198
Public Transportation - Bus Pass,-2039.9503
Amazon Order - Biology Book,-2608.5193
Sprouts Market,-1166.5801
Restaurant - Pizza,-1119.78
Wedding Planner,24.42
Babies "R" Us,21.91
Uber,-2047.9702
Time Warner Cable,-450.0
Southwest Flights - Cancun,16.63
Paycheck,60925.0
Housing Rent,-18923.0
Kay Jewelry,4.43
Hospital - Prenatal Care,20.19
DVD - Star Trek,-2645.8896
Amazon Order - Star Wars Figurine,-3106.2
Food Delivery - GrubHub,-1297.3799
Coffee,-2718.9197
Restaurant - Steakhouse,-1002.8401
Public Transportation - Train Pass,-2169.5398
Science Museum,-2589.8904
Whole Foods,-1397.1901
Art Museum,-2543.5093
Restaurant - Burgers,-1870.9
Mary's Book Store,-3323.93
Amazon Order - Science Book,-2233.6401
Restaurant - Chinese,-1002.87
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,31.83
Gas & Electric,-576.0
ACS - Student Loans,-2430.0
Video Game - PlayStation,-2996.9102
Amazon Order - Mathematics Book,-2765.0002
Online Education Courses,-2338.9995
San Diego Museum,-3598.9102
Von's Groceries,-1267.18
Library Membership,-2684.5098
Cancun Beach Resort,13.07

User Id : 56930,
Amazon Order - Paint Bushes,-3944.2893
Guitar Center,-3672.5596
Ralph's Grocery Store,-997.91
Music Lessons - Piano,-4196.2803
Water & Sewer,-954.0
Starbucks Coffee,-738.80994
Taxi,-2490.0603
FedEx Shipping,6.41
Lyft,-3151.0798
Amazon Order - Baby Crib,57.89
Home Depot,17.73
Ashley's Craft Store,-4390.6396
Public Transportation - Bus Pass,-2110.4495
Restaurant - Pizza,-1360.4
Sprouts Market,-1042.8201
Babies "R" Us,89.02
Wedding Planner,13.57
Uber,-2108.71
Time Warner Cable,-450.0
Southwest Flights - Cancun,79.23
Housing Rent,-19911.0
Kay Jewelry,37.93
Paycheck,7917.0
Hospital - Prenatal Care,13.87
Refrigerator Depot,94.14
Michael's Crafts,-4145.9204
Food Delivery - GrubHub,-1209.6699
Art's Art Supplies,-3691.1301
Mark's Movers,15.5
Restaurant - Steakhouse,-1093.36
Public Transportation - Train Pass,-2078.03
Hamilton Move & Storage,24.1
Whole Foods,-1686.7002
Restaurant - Burgers,-1153.02
Restaurant - Chinese,-1181.4598
Credit Card Payment,-2772.0
BuyBuyBaby.com,3.2
Amazon Order - Paint Canvas,-5059.4795
Jerome's Furniture,29.28
Art Auction,-4294.4
Painting Course Fees,-4295.3394
Von's Groceries,-1184.29
Cancun Beach Resort,39.31

User Id : 15248,
Credit Card Overdraft Fee,-1790.5598
Ralph's Grocery Store,-1090.69
Water & Sewer,-954.0
Starbucks Coffee,-1054.48
Taxi,-2785.6199
FedEx Shipping,25.91
Housing Rent - Late Fee,-443.93002
Lyft,-2743.3308
Amazon Order - Baby Crib,30.86
Home Depot,8.25
Goods2 - ThinkGeek,-2674.8098
Public Transportation - Bus Pass,-2522.06
Amazon Order - Biology Book,-2600.1301
Sprouts Market,-1377.7799
Wedding Planner,11.74
Restaurant - Pizza,-1090.8099
Babies "R" Us,8.07
Uber,-2716.85
Southwest Flights - Cancun,20.28
Time Warner Cable,-450.0
Bank Fee - Negative Balance,-608.14996
Kay Jewelry,35.79
Housing Rent,-19044.0
Paycheck,41924.0
Hospital - Prenatal Care,91.83
Refrigerator Depot,66.32
DVD - Star Trek,-2215.2002
Amazon Order - Star Wars Figurine,-2792.96
Coffee,-2088.06
Food Delivery - GrubHub,-557.20996
Mark's Movers,12.85
Time Warne Cable - Late Payment Fee,-735.62
Restaurant - Steakhouse,-1246.97
Public Transportation - Train Pass,-3344.6907
Hamilton Move & Storage,66.52
Science Museum,-3343.49
Whole Foods,-1105.13
Art Museum,-2925.2495
Mary's Book Store,-2994.61
Restaurant - Burgers,-1134.8901
Amazon Order - Science Book,-2805.1304
Restaurant - Chinese,-1807.4899
Water & Sewer - Late Payment Penalty,-925.83997
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,17.45
ACS - Student Loans,-2430.0
Video Game - PlayStation,-2060.8997
Jerome's Furniture,33.02
Amazon Order - Mathematics Book,-2465.37
Online Education Courses,-2013.3401
San Diego Museum,-2079.76
Von's Groceries,-1284.4099
Library Membership,-3381.33
Cancun Beach Resort,7.03

User Id : 54144,
Amazon Order - Paint Bushes,-4095.1897
Guitar Center,-4580.101
Ralph's Grocery Store,-980.2799
Music Lessons - Piano,-3612.93
Starbucks Coffee,-1340.3201
Water & Sewer,-954.0
FedEx Shipping,20.83
Taxi,-2443.62
Lyft,-2176.4297
Amazon Order - Baby Crib,18.59
Home Depot,2.67
Ashley's Craft Store,-4114.289
Public Transportation - Bus Pass,-2588.3906
Sprouts Market,-1099.39
Restaurant - Pizza,-1349.6401
Babies "R" Us,24.82
Wedding Planner,15.75
Uber,-2970.2307
Southwest Flights - Cancun,31.52
Paycheck,42260.0
Housing Rent,-18593.0
Kay Jewelry,14.62
Hospital - Prenatal Care,87.47
Refrigerator Depot,13.78
Michael's Crafts,-3906.981
Food Delivery - GrubHub,-1207.3499
Art's Art Supplies,-4474.0796
Mark's Movers,0.61
Restaurant - Steakhouse,-1076.86
Public Transportation - Train Pass,-2305.13
Hamilton Move & Storage,80.38
Whole Foods,-1240.3601
Restaurant - Burgers,-1443.5299
Restaurant - Chinese,-1523.84
BuyBuyBaby.com,2.45
Amazon Order - Paint Canvas,-4214.5303
Gas & Electric,-576.0
ACS - Student Loans,-2430.0
Jerome's Furniture,4.26
Art Auction,-3925.8906
Painting Course Fees,-4410.6904
Von's Groceries,-1369.71
Cancun Beach Resort,30.9

User Id : 35187,
Ralph's Grocery Store,-997.46
Comfort Inn,15.26
NBA Ticket - Lakers,-3235.75
Starbucks Coffee,-879.51
Water & Sewer,-954.0
Taxi,-2375.5
FedEx Shipping,31.75
Lyft,-2801.3496
Amazon Order - Baby Crib,107.7
Home Depot,20.81
Divorce Lawyer Fees,9.0
Dick's Sporting Goods,-3612.0002
Athletic Apparel,-4597.8003
Public Transportation - Bus Pass,-2457.1802
Sprouts Market,-989.92993
Restaurant - Pizza,-1055.0901
Babies "R" Us,19.03
Wedding Planner,0.77
Amazon Order - Athletic Equipment,-2614.1
Uber,-2255.7107
Southwest Flights - Cancun,17.66
Housing Rent,-17683.0
Paycheck,73741.0
Kay Jewelry,50.92
Hospital - Prenatal Care,27.58
GNC,-3679.269
Bike Rental,-4210.8994
Refrigerator Depot,24.3
Vitamin Shoppe,-3737.0303
Food Delivery - GrubHub,-1555.9302
Mark's Movers,25.41
Restaurant - Steakhouse,-989.7001
Public Transportation - Train Pass,-2046.24
Hamilton Move & Storage,29.15
Whole Foods,-1114.4299
Restaurant - Burgers,-1311.4799
Restaurant - Chinese,-1403.36
Total Gym Fees,-3720.9697
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,34.87
Gas & Electric,-576.0
NFL Ticket - Chargers,-4057.4402
Best Western Hotel,61.07
Sam's Sporting Apparel,-3911.2395
ACS - Student Loans,-2430.0
Jerome's Furniture,9.14
Von's Groceries,-1248.2098
Cancun Beach Resort,2.47

User Id : 15241,
Amazon Order - Paint Bushes,-4295.56
Guitar Center,-4296.8696
Ralph's Grocery Store,-1110.24
Music Lessons - Piano,-4300.2417
Starbucks Coffee,-1159.16
Water & Sewer,-954.0
Taxi,-2567.5298
FedEx Shipping,29.14
Lyft,-2071.7605
Amazon Order - Baby Crib,32.73
Home Depot,2.96
Ashley's Craft Store,-4774.05
Public Transportation - Bus Pass,-2032.3796
Restaurant - Pizza,-890.55
Sprouts Market,-884.83997
Babies "R" Us,111.8
Wedding Planner,26.09
Uber,-3312.4905
Southwest Flights - Cancun,32.94
Housing Rent,-17970.0
Paycheck,30003.0
Kay Jewelry,23.24
Hospital - Prenatal Care,12.77
Refrigerator Depot,26.02
Michael's Crafts,-4040.429
Food Delivery - GrubHub,-1591.77
Art's Art Supplies,-4493.382
Mark's Movers,34.75
Restaurant - Steakhouse,-735.2199
Public Transportation - Train Pass,-2539.8706
Hamilton Move & Storage,17.73
Whole Foods,-983.52
Restaurant - Burgers,-1206.6998
Restaurant - Chinese,-618.36993
BuyBuyBaby.com,27.6
Amazon Order - Paint Canvas,-4224.9004
Jerome's Furniture,0.77
Art Auction,-3316.35
Painting Course Fees,-5156.5806
Von's Groceries,-1293.89
Cancun Beach Resort,26.3

User Id : 53897,
Amazon Order - Paint Bushes,-3634.3796
Guitar Center,-5188.7383
Ralph's Grocery Store,-1196.2
Music Lessons - Piano,-3602.2698
Starbucks Coffee,-1275.4999
Water & Sewer,-954.0
Taxi,-2617.1094
FedEx Shipping,26.74
Lyft,-2816.8696
Amazon Order - Baby Crib,27.34
Home Depot,13.02
Ashley's Craft Store,-3735.7307
Public Transportation - Bus Pass,-2726.8103
Sprouts Market,-935.54987
Babies "R" Us,33.52
Restaurant - Pizza,-1660.2001
Wedding Planner,1.57
Uber,-2813.0706
Time Warner Cable,-450.0
Southwest Flights - Cancun,7.97
Paycheck,53420.0
Housing Rent,-18465.0
Kay Jewelry,3.09
Hospital - Prenatal Care,29.34
Refrigerator Depot,24.56
Michael's Crafts,-3442.3796
Food Delivery - GrubHub,-1004.1199
Art's Art Supplies,-3829.2095
Mark's Movers,35.0
Restaurant - Steakhouse,-1406.44
Public Transportation - Train Pass,-2499.5698
Hamilton Move & Storage,5.35
Whole Foods,-909.36993
Restaurant - Burgers,-1262.1901
Restaurant - Chinese,-1460.8901
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,31.64
Amazon Order - Paint Canvas,-3170.89
Gas & Electric,-576.0
Jerome's Furniture,29.71
Art Auction,-4084.3098
Painting Course Fees,-3521.0999
Von's Groceries,-1271.8899
Cancun Beach Resort,25.42

User Id : 98316,
Credit Card Overdraft Fee,-1562.9802
Ralph's Grocery Store,-980.70996
Comfort Inn,25.14
Starbucks Coffee,-1156.49
Water & Sewer,-954.0
Taxi,-2493.58
FedEx Shipping,30.83
Housing Rent - Late Fee,-666.04
Lyft,-1836.6
Amazon Order - Baby Crib,4.53
Home Depot,12.55
Divorce Lawyer Fees,19.97
Bowling,-2790.4297
Public Transportation - Bus Pass,-3047.6904
John's Bar & Restaurant,-3003.0115
Restaurant - Pizza,-1096.07
Sprouts Market,-1086.2899
Wedding Planner,29.5
Babies "R" Us,11.99
Uber,-2242.6802
Wine Bar,-2681.88
Southwest Flights - Cancun,0.06
Concert Ticket,-2681.4
Bank Fee - Negative Balance,-430.04
Paycheck,23068.0
Housing Rent,-19036.0
Kay Jewelry,12.02
Hospital - Prenatal Care,9.7
Seaside Bar,-2810.2795
Karaoke Bar,-3487.32
Refrigerator Depot,34.58
Food Delivery - GrubHub,-1280.4099
Time Warne Cable - Late Payment Fee,-388.36
Mark's Movers,22.65
Restaurant - Steakhouse,-1115.28
Rodriguez's Bar and Grill,-2568.9304
Public Transportation - Train Pass,-3117.3098
Movie Ticket,-2070.9902
Hamilton Move & Storage,38.43
Whole Foods,-1389.34
Restaurant - Burgers,-1222.5702
Restaurant - Chinese,-627.14
Ice Skating Rink,-3454.4507
Water & Sewer - Late Payment Penalty,-357.22003
Fisker Night Club,-2888.6501
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,16.1
Gas & Electric,-576.0
Best Western Hotel,32.18
Green Flash Brewery,-3196.9695
Jerome's Furniture,1.49
Owl Night Club,-2379.6401
Von's Groceries,-1516.1101
Cancun Beach Resort,29.09

User Id : 51974,
Podcast Subscription,-3071.5193
Ralph's Grocery Store,-1388.9299
Red Box DVD Rental,-3747.5906
PlayStation Membership,-3664.7397
Starbucks Coffee,-1209.64
Taxi,-2660.0598
FedEx Shipping,62.2
Lyft,-3040.42
Amazon Order - Baby Crib,26.95
On Demand Movie,-4268.051
Home Depot,5.53
Pet Smart,-4182.449
Public Transportation - Bus Pass,-2062.34
Pet Supply - Cat Food,-4750.389
Restaurant - Pizza,-987.45
Wedding Planner,110.21
Sprouts Market,-997.4302
Babies "R" Us,67.44
Uber,-2399.0698
Wine Delivery,-3665.68
Southwest Flights - Cancun,54.51
Kay Jewelry,39.83
Paycheck,33140.0
Housing Rent,-18112.0
Hospital - Prenatal Care,39.85
Refrigerator Depot,34.31
Food Delivery - Uber Eats,-4341.711
Food Delivery - GrubHub,-5278.4497
Mark's Movers,26.12
Restaurant - Steakhouse,-1265.0199
Public Transportation - Train Pass,-2715.22
Hamilton Move & Storage,8.5
Whole Foods,-1251.8202
Restaurant - Burgers,-1268.5901
Restaurant - Chinese,-1488.1704
Credit Card Payment,-2772.0
BuyBuyBaby.com,10.41
On Demand TV,-3487.0195
Jerome's Furniture,8.23
Von's Groceries,-1198.2699
Cancun Beach Resort,101.21

User Id : 52374,
